Symbol,GPA
0200504D,1.35
0200505C,1.5
0200505D,1.5
0200506C,1.9
0200506D,1.9
0200507C,1.6
0200507D,1.6
0200510C,1.85
0200510D,1.85
0200512C,2.1
0200512D,2.1
0200513C,1.9
0200513D,1.9
0200514C,1.35
0200514D,1.35
0200515C,1.75
0200515D,1.75
0200516C,1.25
0200516D,1.25
0200517C,1.15
0200517D,1.15
0200518C,1.55
0200518D,1.55
0200519C,1.7
0200519D,1.7
0200520C,1.35
0200520D,1.35
0200521C,1.3
0200521D,1.3
0200522C,1.3
0200522D,1.3
0200523C,1.9
0200523D,1.9
0200524C,1.15
0200524D,1.15
0200525C,1.3
0200525D,1.3
0200526C,1.3
0200526D,1.3
0200527C,2.85
0200527D,2.85
0200528C,2.3
0200528D,2.3
0200529C,1.7
0200529D,1.7
0200530C,1.75
0200530D,1.75
0200531C,1.95
0200531D,1.95
0200532C,1.6
0200532D,1.6
0200533C,1.4
0200533D,1.4
0200534C,1.3
0200534D,1.3
0200535C,1.35
0200535D,1.35
0200536C,2.05
0200536D,2.05
0200537C,1.7
0200537D,1.7
0200538C,1.95
0200538D,1.95
0200539C,1.9
0200539D,1.9
0200540C,1.7
0200540D,1.7
0200541C,1.65
0200541D,1.65
0200542C,1.25
0200542D,1.25
0200543C,1.45
0200543D,1.45
0200544C,2.0
0200544D,2.0
0200546C,1.5
0200546D,1.5
0200547C,1.8
0200547D,1.8
0200549C,1.45
0200549D,1.45
0200550C,1.7
0200550D,1.7
0200552C,2.65
0200552D,2.65
0200553C,1.3
0200553D,1.3
0200554C,1.05
0200554D,1.05
0200555C,1.85
0200555D,1.85
0200557C,1.9
0200557D,1.9
0200558C,1.65
0200558D,1.65
0200559C,2.05
0200559D,2.05
0200560C,1.4
0200560D,1.4
0200561C,1.45
0200561D,1.45
0200563C,1.8
0200563D,1.8
0200565C,1.65
0200565D,1.65
0200566C,1.4
0200566D,1.4
0200568C,1.55
0200568D,1.55
0200569C,1.55
0200569D,1.55
0200571C,2.25
0200571D,2.25
0200573C,1.4
0200573D,1.4
0200574C,1.65
0200574D,1.65
0200575C,1.9
0200575D,1.9
0200576C,1.4
0200576D,1.4
0200577C,1.6
0200577D,1.6
0200578C,1.35
0200578D,1.35
0200579C,1.3
0200579D,1.3
0200581C,1.6
0200581D,1.6
0200582C,1.35
0200582D,1.35
0200584C,1.95
0200584D,1.95
0200585C,1.2
0200585D,1.2
0200586C,1.45
0200586D,1.45
0200588C,1.8
0200588D,1.8
0200590C,1.65
0200590D,1.65
0200592C,1.9
0200592D,1.9
0200593C,1.1
0200593D,1.1
0200594C,1.65
0200594D,1.65
0200595C,1.95
0200595D,1.95
0200596C,2.05
0200596D,2.05
0200597C,1.7
0200597D,1.7
0200599C,1.85
0200599D,1.85
0200600C,1.45
0200600D,1.45
0200601C,1.8
0200601D,1.8
0200602C,2.25
0200602D,2.25
0200603C,1.45
0200603D,1.45
0200604C,1.5
0200604D,1.5
0200605C,1.55
0200605D,1.55
0200606C,1.55
0200606D,1.55
